station,relative_path,filename,extension,classification,is_meteorological_data,bytes,sha256
station_a,station_a/.DS_Store,.DS_Store,,filesystem_metadata,False,6148,dc5879c275bd12173be9f4f683084c44fe9b3b809cc7d6733178be9145963444
station_a,station_a/microwave_radiometer.txt,microwave_radiometer.txt,.txt,microwave_radiometer,True,35493,6b72312f78eeac94208b220aef2861794504d4916b68baee0e58bea1f9f750b0
station_a,station_a/wind_profiler/Z_RADA_I_58235_20250802000000_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58235_20250802000000_P_WPRD_LC_ROBS.TXT,.TXT,wind_profiler,True,2745,7856be522852c20d2bb47ab19dfaad201dc1b4ce5859f6a91b55ad84d980964e
station_a,station_a/wind_profiler/Z_RADA_I_58235_20250802000600_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58235_20250802000600_P_WPRD_LC_ROBS.TXT,.TXT,wind_profiler,True,2745,1951712b4e85223cbe377285d5ebe8b9c75b85abd493aa1771e8798bd344856e
station_a,station_a/wind_profiler/Z_RADA_I_58235_20250802001200_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58235_20250802001200_P_WPRD_LC_ROBS.TXT,.TXT,wind_profiler,True,2745,4806ce108676c434908887712b0f7e540802575fced62d8d73135fa8c1649025
station_a,station_a/wind_profiler/Z_RADA_I_58235_20250802001800_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58235_20250802001800_P_WPRD_LC_ROBS.TXT,.TXT,wind_profiler,True,2745,534a77f26350dd524ff31456999d91e79d462cc89cdd21611bf7bc5816b118ad
station_a,station_a/wind_profiler/Z_RADA_I_58235_20250802002400_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58235_20250802002400_P_WPRD_LC_ROBS.TXT,.TXT,wind_profiler,True,2745,d7837c97a7e4e3bd1f3c991add4ead03a8f2c4cdbc3ae6e5100f52b856f24d83
station_a,station_a/wind_profiler/Z_RADA_I_58235_20250802003000_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58235_20250802003000_P_WPRD_LC_ROBS.TXT,.TXT,wind_profiler,True,2745,6b743a211fafcc1299169deb12de7f8fee4f3e377f360ceec53514357188b72a
station_b,station_b/.DS_Store,.DS_Store,,filesystem_metadata,False,6148,aeb2158a8a36aa9d51824018128cd224f90a4f6410913a5970ae794c198cbee6
station_b,station_b/microwave_radiometer.txt,microwave_radiometer.txt,.txt,microwave_radiometer,True,42097,0ebea341e6ec20ca90e3bbdeefaa0b47683d84062b217f36cb9af05c3eb221c4
station_b,station_b/wind_profiler/Z_RADA_I_58238_20250802000000_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58238_20250802000000_P_WPRD_LC_ROBS.TXT,.TXT,wind_profiler,True,2745,80a7b423d4f2a2887cf9cc12e232cca572a08f3506d830abf1f681d8ee7ed96a
station_b,station_b/wind_profiler/Z_RADA_I_58238_20250802000600_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58238_20250802000600_P_WPRD_LC_ROBS.TXT,.TXT,wind_profiler,True,2745,71c3971325625d40c3c18e27ac63d3645d5a56868138c757c38add1d89182a71
station_b,station_b/wind_profiler/Z_RADA_I_58238_20250802001200_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58238_20250802001200_P_WPRD_LC_ROBS.TXT,.TXT,wind_profiler,True,2745,3bbbd6289d525df117d70e40c1f031ca22da52a0ea18e282b42d820beab41615
station_b,station_b/wind_profiler/Z_RADA_I_58238_20250802001800_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58238_20250802001800_P_WPRD_LC_ROBS.TXT,.TXT,wind_profiler,True,2745,aa8f9998b27e52f65f94a1e18273ceae31dcf17677288ef5a429e6c6158db67e
station_b,station_b/wind_profiler/Z_RADA_I_58238_20250802002400_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58238_20250802002400_P_WPRD_LC_ROBS.TXT,.TXT,wind_profiler,True,2745,a56eb42e80ec2a60f8a4a9a76d59d06d17f3a75ea0e89ec26eafefb034f05190
station_b,station_b/wind_profiler/Z_RADA_I_58238_20250802003000_P_WPRD_LC_ROBS.TXT,Z_RADA_I_58238_20250802003000_P_WPRD_LC_ROBS.TXT,.TXT,wind_profiler,True,2745,b5f95cfdcd4c3921019810c8aadcbe24286b39513a7b02233d3f4d980d0b87fc
