station,profiler_timestamp,profiler_numeric_height_min_token,profiler_numeric_height_max_token,numeric_overlap_min_under_metre_correspondence,numeric_overlap_max_under_metre_correspondence,exact_common_height_count_under_metre_correspondence,exact_common_height_tokens,nearest_microwave_grid_offset_min,nearest_microwave_grid_offset_max,nearest_microwave_grid_offset_mean
station_a,2025-08-02 00:00,100,4420,100,4420,6,100;400;700;1300;1900;2500,0.0,80.0,18.484848484848484
station_a,2025-08-02 00:06,100,4420,100,4420,6,100;400;700;1300;1900;2500,0.0,80.0,18.484848484848484
station_a,2025-08-02 00:12,100,4420,100,4420,6,100;400;700;1300;1900;2500,0.0,80.0,18.484848484848484
station_a,2025-08-02 00:18,100,4900,100,4900,6,100;400;700;1300;1900;2500,0.0,100.0,22.857142857142858
station_a,2025-08-02 00:24,100,5140,100,5140,6,100;400;700;1300;1900;2500,0.0,110.0,25.27777777777778
station_a,2025-08-02 00:30,100,5380,100,5380,6,100;400;700;1300;1900;2500,0.0,120.0,27.83783783783784
station_b,2025-08-02 00:00,100,6340,100,6340,6,100;400;700;1300;1900;2500,0.0,120.0,35.36585365853659
station_b,2025-08-02 00:06,100,6340,100,6340,6,100;400;700;1300;1900;2500,0.0,120.0,35.36585365853659
station_b,2025-08-02 00:12,100,6340,100,6340,6,100;400;700;1300;1900;2500,0.0,120.0,35.36585365853659
station_b,2025-08-02 00:18,100,6340,100,6340,6,100;400;700;1300;1900;2500,0.0,120.0,35.36585365853659
station_b,2025-08-02 00:24,100,6340,100,6340,6,100;400;700;1300;1900;2500,0.0,120.0,35.36585365853659
station_b,2025-08-02 00:30,100,6340,100,6340,6,100;400;700;1300;1900;2500,0.0,120.0,35.36585365853659
