station,timestamp,cycle_index,code_token,record_id,source_line,qc_token,named_values_json,profile_min,profile_max,profile_zero_count,raw_row_sha256
station_b,2025-08-02 00:02,1,11,1,3,9,"[25.3, 99.2, 991.3, 24.1, 0.0, 0.52, 65.12, 0.24]",-26.609,25.3,0,bd0c71beee02f34313c8784ef78ab9c6a438aa99fe6e017f4b6b9efbb0f0e6cd
station_b,2025-08-02 00:02,1,12,2,4,9,"[25.3, 99.2, 991.3, 24.1, 0.0, 0.52, 65.12, 0.24]",0.009,23.175,0,db20b93496dc47526a47ae2d1807c9c5790bb199b59d9237bc97db597f5b0c8b
station_b,2025-08-02 00:02,1,13,3,5,9,"[25.3, 99.2, 991.3, 24.1, 0.0, 0.52, 65.12, 0.24]",24.316,98.998,0,6ee2b31b88e8fb59c1855126da2eb13d3b508ec5fda3c8de9e29e8c13bae5eb8
station_b,2025-08-02 00:02,1,14,4,6,9,"[25.3, 99.2, 991.3, 24.1, 0.0, 0.52, 65.12, 0.24]",0.0,0.478,41,17c19a8ea8b91c2c1004ab45a340612a7300e9c246ccd51b49b6cfd8706605ab
station_b,2025-08-02 00:02,2,11,9,11,9,"[25.3, 99.2, 991.3, 23.7, 0.0, 0.58, 65.08, 0.13]",-26.571,25.3,0,06ceedd470db22c9df83609f94cb4ba1aba2ad1e20f942ce0b299f6e8fd74d6a
station_b,2025-08-02 00:02,2,12,10,12,9,"[25.3, 99.2, 991.3, 23.7, 0.0, 0.58, 65.08, 0.13]",0.01,23.176,0,b8e31f29a9a3fab3bc13000798711347b3979aaa4fa9ed786056a32af027321d
station_b,2025-08-02 00:02,2,13,11,13,9,"[25.3, 99.2, 991.3, 23.7, 0.0, 0.58, 65.08, 0.13]",3.549,99.0,0,a25f251939195a7d24e2614d0e8da23765bf464adb29f68ab6b553c3a5546a1c
station_b,2025-08-02 00:02,2,14,12,14,9,"[25.3, 99.2, 991.3, 23.7, 0.0, 0.58, 65.08, 0.13]",0.0,0.55,41,7cde248e944791c38892f7a784a24f6f5df99c27b514be06ca3c0ac0c201ae7a
station_b,2025-08-02 00:08,1,11,17,19,9,"[25.3, 99.2, 991.3, 23.8, 0.0, 0.56, 64.94, 0.14]",-26.607,25.3,0,b352ddbfce2092e3eaf9c86efe6dba78fa5c48b3677aa1d07ecde5e4b70d9450
station_b,2025-08-02 00:08,1,12,18,20,9,"[25.3, 99.2, 991.3, 23.8, 0.0, 0.56, 64.94, 0.14]",0.008,23.175,0,cf3907a2f8d0b1193aaec17898d1d1cf156b3957c2618a1afe316ad7f4ba33b3
station_b,2025-08-02 00:08,1,13,19,21,9,"[25.3, 99.2, 991.3, 23.8, 0.0, 0.56, 64.94, 0.14]",3.948,98.997,0,919e706cc4678464360388f9695256a7d5c159afd1c50fc6534d8cd4c99f8026
station_b,2025-08-02 00:08,1,14,20,22,9,"[25.3, 99.2, 991.3, 23.8, 0.0, 0.56, 64.94, 0.14]",0.0,0.553,41,4201a3dcda849ed17c65dd27953fde19f33c187e1b3c36a30c624ffc235ed739
station_b,2025-08-02 00:08,2,11,25,27,9,"[25.3, 99.2, 991.3, 24.0, 0.0, 0.52, 65.05, 0.23]",-26.619,25.3,0,e629a566d55051cab359332d1386780931c8da0f36eb9d9705091fb9a94a7ec8
station_b,2025-08-02 00:08,2,12,26,28,9,"[25.3, 99.2, 991.3, 24.0, 0.0, 0.52, 65.05, 0.23]",0.005,23.175,0,10dce6f8fd40790a169834b800670d15770c51581a5d40e42055c7830b42550f
station_b,2025-08-02 00:08,2,13,27,29,9,"[25.3, 99.2, 991.3, 24.0, 0.0, 0.52, 65.05, 0.23]",23.35,98.995,0,b3400d58703a59d964eacf365e51571be869ee692f48101466ce92119f902c86
station_b,2025-08-02 00:08,2,14,28,30,9,"[25.3, 99.2, 991.3, 24.0, 0.0, 0.52, 65.05, 0.23]",0.0,0.504,41,8a26e8f8917b61deecf07b0f039cd973c529eda08e63c9e9356df217f343265a
station_b,2025-08-02 00:10,1,11,21,23,9,"[25.3, 99.2, 991.3, 24.0, 0.0, 0.51, 64.96, 0.23]",-26.604,25.3,0,0eac73bf17d3b30baeed2864efdbcecfdec5bb4bc1bdb2c311cd1e20f968c96d
station_b,2025-08-02 00:10,1,12,22,24,9,"[25.3, 99.2, 991.3, 24.0, 0.0, 0.51, 64.96, 0.23]",0.011,23.174,0,bf80c022879efb59983bf5609352e3130beb49bd999eb911436cd15375e8a250
station_b,2025-08-02 00:10,1,13,23,25,9,"[25.3, 99.2, 991.3, 24.0, 0.0, 0.51, 64.96, 0.23]",23.299,98.993,0,7322ea5b8429bfc5a4fe4d479cec8240e6758b8fca6763cbd234acf261dae0af
station_b,2025-08-02 00:10,1,14,24,26,9,"[25.3, 99.2, 991.3, 24.0, 0.0, 0.51, 64.96, 0.23]",0.0,0.506,41,b01bb570040f390e15483d6444312f292d40438d60af266a5778619f1db81a40
station_b,2025-08-02 00:10,2,11,29,31,9,"[25.3, 99.2, 991.2, 24.1, 0.0, 0.49, 65.07, 0.36]",-26.559,25.3,0,5f6a473b80c09ee1a29369fc8dc56ff2d8beea91657d0cedf03f3110e8dac8bb
station_b,2025-08-02 00:10,2,12,30,32,9,"[25.3, 99.2, 991.2, 24.1, 0.0, 0.49, 65.07, 0.36]",0.049,23.174,0,f5c89f84f4175bdf627e6009a5eaed611d66188f0f1ccdb8d011b1f2b49b5ef0
station_b,2025-08-02 00:10,2,13,31,33,9,"[25.3, 99.2, 991.2, 24.1, 0.0, 0.49, 65.07, 0.36]",34.717,98.993,0,281445a434c5df06d108db42883b6c399818ee257ddc5ae52907b0595b6cfefb
station_b,2025-08-02 00:10,2,14,32,34,9,"[25.3, 99.2, 991.2, 24.1, 0.0, 0.49, 65.07, 0.36]",0.0,0.411,43,6c15daef3a2fa990e1452d8b4b6cac4e84afc466609b7f82e443d0b913be8182
