id,verified_duration_s,text_word_resolved_frac,text_P_bins,text_O_bins,audio_P_bins,audio_O_bins,vision_P_bins,vision_O_bins,vision_face_coverage,finite_all,po_consistent,text_alignment_status,text_alignment_state,text_content_present,text_word_content_count,text_P_unknown_bins,text_O_unknown_bins,audio_pcm_end_s,audio_lld_frame_count,video_coverage_end_s,source_map_sha256
-3g5yACwYnA$_$13,5.513997,0.8824,36,36,49,49,50,50,1.0,1,1,VERIFIED,1,1,18,14,14,5.399125,535,5.5,4f92a38394e2b63990e52d33fce3b9626811cb9955a9232e6967b241ad025f0f
-3g5yACwYnA$_$2,9.39401,0.875,20,20,50,50,50,50,1.0,1,1,VERIFIED,1,1,17,30,30,9.2313125,919,9.366666666666667,77f5f8309074eb881d3944f0984ff211081eef64c5146cbc002a328c154a446c
-3g5yACwYnA$_$3,14.388997,0.9394,35,35,50,50,50,50,1.0,1,1,VERIFIED,1,1,36,15,15,14.327875,1428,14.366666666666667,249b674587be074ae9198ef02cc18b5622d80af2a40c4fc9beb461251aca8e75
-3g5yACwYnA$_$9,8.816992,0.9565,34,34,50,50,50,50,1.0,1,1,VERIFIED,1,1,28,16,16,8.696125,865,8.8,7c34d0ae184112f05806c825122a9f1f6e98371585a27c6d92b8d199daa03a0e
-3nNcZdcdvU$_$5,7.867969,1.0,40,40,50,50,50,50,0.9957627118644068,1,1,VERIFIED,1,1,19,10,10,7.7885625,774,7.866666666666666,8a7fa36485911835828dd68379fb2cd984ba08d591dbb9315a6b3a723b66bcbf
-571d8cVauQ$_$0,5.066667,1.0,34,34,50,50,50,49,0.9671052631578947,1,1,VERIFIED,1,1,14,16,16,4.9923125,495,5.166666666666667,c456c10f8b89df415c58143bbf977c984ba1878549d554bad2a4f68e165b5f2f
-571d8cVauQ$_$5,15.272982,1.0,43,43,50,50,50,50,1.0,1,1,VERIFIED,1,1,51,7,7,15.11525,1507,15.266666666666666,9e1d20b7b1ba2af8425a91eed4c9e3c1fc3430e6eb1aae68019ac3106641ffbf
-6rXp3zJ3kc$_$8,12.805013,1.0,40,40,50,50,50,50,1.0,1,1,VERIFIED,1,1,37,10,10,12.738,1269,12.8,1cee6730aa656291e5e299209408dbdbb670b125d1eab2d302828c895e6e3e95
-9y-fZ3swSY$_$0,6.833333,0.8261,37,37,50,50,50,50,1.0,1,1,VERIFIED,1,1,28,13,13,6.757,671,6.8999999999999995,cb9d1933e5a27ebfacec679f2be9a28ca2c9237dffc021c81c3cf3d7fb426f31
-9y-fZ3swSY$_$4,2.821029,0.6,0,0,48,48,48,48,1.0,1,1,UNRESOLVED,2,1,11,50,50,2.6648125,262,2.8,c345b26fad8440ea37e2933e78274caba0e62cccf4288d43778484c9a0618265
-9y-fZ3swSY$_$8,4.988997,0.9231,35,35,50,50,50,46,1.0,1,1,VERIFIED,1,1,14,15,15,4.917,487,4.966666666666667,6ead1156f1b57889dd046e49d529fa7ab13de75de0bf163b088fa1d96b0631ed
-AUZQgSxyPQ$_$2,22.511003,0.9512,45,45,50,50,50,50,1.0,1,1,VERIFIED,1,1,46,5,5,22.4045625,2236,22.5,94e87bcdb2df9679ac28b502933148edb347794138aed7e6de8395e16306d25d
-HeZS2-Prhc$_$2,8.261979,1.0,33,33,50,50,50,50,1.0,1,1,VERIFIED,1,1,17,17,17,8.150875,811,8.233333333333333,c5c7854db9fb325fd5594d5ad07e9252d9f46c3b161e7dfb755e965b2f3a349f
-HwX2H8Z4hY$_$2,3.982031,0.5714,0,0,50,50,50,12,0.24369747899159663,1,1,UNRESOLVED,2,1,12,50,50,3.9158125,387,3.9666666666666663,7ce576c0c1198a0cccf7186cbb5b679145cd66247e62eb518066e736a9dbcf23
-HwX2H8Z4hY$_$5,5.652995,1.0,38,38,50,50,50,18,0.375,1,1,VERIFIED,1,1,10,12,12,5.5440625,550,5.633333333333333,35beb49fdc1e6fb0fb0c6300ae37485056ef5b30c7472400b63f203cf555872d
-HwX2H8Z4hY$_$6,3.358008,1.0,29,29,49,49,50,32,0.9393939393939394,1,1,VERIFIED,1,1,8,21,21,3.256,321,3.333333333333333,e8a030db122b82971e6319fc4483acd44614cc31f4a65214de2ea425daf484ab
-HwX2H8Z4hY$_$9,7.733984,0.875,43,43,50,50,50,0,0.12931034482758622,1,1,VERIFIED,1,1,24,7,7,7.6363125,759,7.733333333333333,8ac1b353877a081be3e26ec983019cbb9b7cd065781163a6b78faa09454a3fc9
