id,raw_video,source_exists,raw_size_bytes,verified_duration_s,old_manifest_duration_s,nominal_fps,n_video_frames_decoded,orig_audio_sr,orig_audio_channels,label,annotation,text_alignment_status,n_words,n_alignable,n_words_resolved,text_P_bins,text_O_bins,audio_P_bins,audio_O_bins,vision_P_bins,vision_O_bins,finite_all,po_consistent,npz_sha256,text_alignment_state,text_content_present,text_word_content_count,text_P_unknown_bins,text_O_unknown_bins,text_feature_dim,audio_feature_dim,vision_feature_dim,common_bins,text_verified_bins,text_unknown_bins,audio_valid_bins,vision_valid_bins,audio_pcm_end_s,video_coverage_end_s,audio_lld_frame_count,source_map_sha256
-3g5yACwYnA$_$13,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,1,1052449,5.513997,8.767,30.0,163,44100,2,0.6666666865348816,Positive,VERIFIED,18,17,15,36,36,49,49,50,50,1,1,cc3a1b41294ac090570e2695100e95e7353f431fd5bcc5d6d3178790e33cbc7f,1,1,18,14,14,768,25,1404,50,36,14,49,50,5.399125,5.5,535,4f92a38394e2b63990e52d33fce3b9626811cb9955a9232e6967b241ad025f0f
-3g5yACwYnA$_$2,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,1,1752558,9.39401,14.234,30.0,278,44100,2,0.0,Neutral,VERIFIED,17,16,14,20,20,50,50,50,50,1,1,2cda538e6cdc0c276568cc9d5c90360eeecbb89e3281bff90d49a8395670c2a2,1,1,17,30,30,768,25,1404,50,20,30,50,50,9.2313125,9.366666666666667,919,77f5f8309074eb881d3944f0984ff211081eef64c5146cbc002a328c154a446c
-3g5yACwYnA$_$3,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,1,2322206,14.388997,19.273,30.0,431,44100,2,0.0,Neutral,VERIFIED,36,33,31,35,35,50,50,50,50,1,1,cea2bf788f52f2e992f4697e907cafbd12ac9d81c026ae9f1642741bbe9529e9,1,1,36,15,15,768,25,1404,50,35,15,50,50,14.327875,14.366666666666667,1428,249b674587be074ae9198ef02cc18b5622d80af2a40c4fc9beb461251aca8e75
-3g5yACwYnA$_$9,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,1,1938491,8.816992,16.234,30.0,263,44100,2,0.6666666865348816,Positive,VERIFIED,28,23,22,34,34,50,50,50,50,1,1,8210407ee1ec8b9c37f51f2db965c7f0400e75d1a0529b055be2a9128093ebac,1,1,28,16,16,768,25,1404,50,34,16,50,50,8.696125,8.8,865,7c34d0ae184112f05806c825122a9f1f6e98371585a27c6d92b8d199daa03a0e
-3nNcZdcdvU$_$5,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,1,336985,7.867969,10.937,30.0,236,44100,1,0.0,Neutral,VERIFIED,19,18,18,40,40,50,50,50,50,1,1,e5d8976299eb85e0b239fa7667139ab1121cd6286cde347df6536bd5b15319b0,1,1,19,10,10,768,25,1404,50,40,10,50,50,7.7885625,7.866666666666666,774,8a7fa36485911835828dd68379fb2cd984ba08d591dbb9315a6b3a723b66bcbf
-571d8cVauQ$_$0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-571d8cVauQ/0.mp4,1,259577,5.066667,5.167,30.0,152,44100,2,0.0,Neutral,VERIFIED,14,12,12,34,34,50,50,50,49,1,1,712b469a7c49eb84348a1d4fc70f540cd3e3293873cf1770a7d1f4efdf49a5b2,1,1,14,16,16,768,25,1404,50,34,16,50,49,4.9923125,5.166666666666667,495,c456c10f8b89df415c58143bbf977c984ba1878549d554bad2a4f68e165b5f2f
-571d8cVauQ$_$5,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-571d8cVauQ/5.mp4,1,813771,15.272982,18.5,30.0,455,44100,2,0.3333333432674408,Positive,VERIFIED,51,45,45,43,43,50,50,50,50,1,1,94237a969c3e06fea3aeb32944fb4c135efabd39a1e2a2c78d3a1b3720af9981,1,1,51,7,7,768,25,1404,50,43,7,50,50,15.11525,15.266666666666666,1507,9e1d20b7b1ba2af8425a91eed4c9e3c1fc3430e6eb1aae68019ac3106641ffbf
-6rXp3zJ3kc$_$8,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-6rXp3zJ3kc/8.mp4,1,567350,12.805013,16.58,30.0,384,44100,2,-1.0,Negative,VERIFIED,37,36,36,40,40,50,50,50,50,1,1,944c5eb87f20d07dad3b2ebdd7d7d2231f1fb0c6026c4b0b359e929abc23ad45,1,1,37,10,10,768,25,1404,50,40,10,50,50,12.738,12.8,1269,1cee6730aa656291e5e299209408dbdbb670b125d1eab2d302828c895e6e3e95
-9y-fZ3swSY$_$0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/0.mp4,1,965453,6.833333,6.9,30.0,205,44100,2,1.0,Positive,VERIFIED,28,23,19,37,37,50,50,50,50,1,1,eb19819dcf12ebcbad095c9a799439e6b6f1dd4bb567083ef2a1bcbee066a66a,1,1,28,13,13,768,25,1404,50,37,13,50,50,6.757,6.8999999999999995,671,cb9d1933e5a27ebfacec679f2be9a28ca2c9237dffc021c81c3cf3d7fb426f31
-9y-fZ3swSY$_$4,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/4.mp4,1,1486121,2.821029,9.334,30.0,81,44100,2,0.0,Neutral,UNRESOLVED,11,10,6,0,0,48,48,48,48,1,1,c87b564ce67ecdfe19a8dec4f52b17f93e9a46618c956c41c4399ad2ad53bb9e,2,1,11,50,50,768,25,1404,50,0,50,48,48,2.6648125,2.8,262,c345b26fad8440ea37e2933e78274caba0e62cccf4288d43778484c9a0618265
-9y-fZ3swSY$_$8,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/8.mp4,1,1715052,4.988997,10.775,30.0,149,44100,2,1.6666666269302368,Positive,VERIFIED,14,13,12,35,35,50,50,50,46,1,1,032cf96acae62b26195433880f355c2a2d314baeae80bf4c3f23a46dcc24ea6d,1,1,14,15,15,768,25,1404,50,35,15,50,46,4.917,4.966666666666667,487,6ead1156f1b57889dd046e49d529fa7ab13de75de0bf163b088fa1d96b0631ed
-AUZQgSxyPQ$_$2,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-AUZQgSxyPQ/2.mp4,1,4550251,22.511003,27.3,30.0,674,44100,2,0.6666666865348816,Positive,VERIFIED,46,41,39,45,45,50,50,50,50,1,1,22f5d77e47249b7414520e822977dc46c164dcdb191ba8ac89cd227487789e96,1,1,46,5,5,768,25,1404,50,45,5,50,50,22.4045625,22.5,2236,94e87bcdb2df9679ac28b502933148edb347794138aed7e6de8395e16306d25d
-HeZS2-Prhc$_$2,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HeZS2-Prhc/2.mp4,1,896960,8.261979,15.834,30.0,246,44100,1,0.6666666865348816,Positive,VERIFIED,17,16,16,33,33,50,50,50,50,1,1,969319833820c05b105418ac4d69b517b1bd849bf2fdd85a96323e20c5a6e80f,1,1,17,17,17,768,25,1404,50,33,17,50,50,8.150875,8.233333333333333,811,c5c7854db9fb325fd5594d5ad07e9252d9f46c3b161e7dfb755e965b2f3a349f
-HwX2H8Z4hY$_$2,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4,1,958873,3.982031,8.151,30.0,119,44100,2,0.0,Neutral,UNRESOLVED,12,7,4,0,0,50,50,50,12,1,1,ba0d6598282daa85d931288e87c86bc600e4234186350f03b6ffeb7538f8b8a7,2,1,12,50,50,768,25,1404,50,0,50,50,12,3.9158125,3.9666666666666663,387,7ce576c0c1198a0cccf7186cbb5b679145cd66247e62eb518066e736a9dbcf23
-HwX2H8Z4hY$_$5,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4,1,1617346,5.652995,11.467,30.0,168,44100,2,-1.0,Negative,VERIFIED,10,9,9,38,38,50,50,50,18,1,1,2f5d376f8ce15ebb1229842598ad84f962110211da281814eea8d920b9c03870,1,1,10,12,12,768,25,1404,50,38,12,50,18,5.5440625,5.633333333333333,550,35beb49fdc1e6fb0fb0c6300ae37485056ef5b30c7472400b63f203cf555872d
