model,seed,missing_type,position,ratio,n,clean_accuracy,clean_macro_f1,clean_weighted_f1,clean_mae,clean_pearson,gap_accuracy,gap_macro_f1,gap_weighted_f1,gap_mae,gap_pearson,delta_macro_f1_clean_minus_gap,delta_mae_gap_minus_clean
M0,1729,text,early,0.1,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.6153846153846154,0.5768760921838746,0.6065089541479849,0.6186574198937344,0.6233559182819614,0.023521361354582826,0.0016179998802555717
M0,2718,text,early,0.1,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.6377622377622377,0.5975723676623227,0.6259322732393889,0.5939819230370783,0.6468874083463017,-0.012912085909831283,0.008920236609361587
M0,31415,text,early,0.1,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.6083916083916084,0.5411141852548887,0.5790219349214324,0.6482720213036958,0.6356047312129178,0.007102185946145978,0.017032403832014875
M1,1729,text,early,0.1,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.6195804195804195,0.5890275359794092,0.6149259380719335,0.6026371762351869,0.6364493530381959,0.010303603454470123,0.006208005437458031
M1,2718,text,early,0.1,715,0.6181818181818182,0.5502617628658918,0.5880361426244011,0.5868322220370434,0.6450125446132786,0.6363636363636364,0.5674632436897044,0.6060581634130137,0.5914208595751674,0.6419813806376163,-0.017201480823812565,0.004588637538123996
M1,31415,text,early,0.1,715,0.6181818181818182,0.54598652630755,0.5853848103050912,0.6369708476573477,0.6431856731586778,0.6055944055944056,0.5214675436373549,0.5651978870991933,0.6621722935858488,0.6421417081456268,0.024518982670195033,0.025201445928501154
M0,1729,text,early,0.2,715,0.6335664335664336,0.6003974535384574,0.628060406233534,0.6170394200134788,0.6345134385194822,0.5888111888111888,0.5374602384931909,0.5715247497267057,0.6423719299297741,0.5928988446569299,0.0629372150452665,0.02533250991629532
M0,2718,text,early,0.2,715,0.6307692307692307,0.5846602817524914,0.6148351089086143,0.5850616864277167,0.6514378907109494,0.6153846153846154,0.5626741111621912,0.5946494246019827,0.6179629267333401,0.620047464691484,0.02198617059030017,0.03290124030562336
M0,31415,text,early,0.2,715,0.6153846153846154,0.5482163712010347,0.5863161255043784,0.6312396174716809,0.6361066028165463,0.5874125874125874,0.5077618638594249,0.5502989569508417,0.6724389117471613,0.6099348893559511,0.040454507341609824,0.041199294275480414
M1,1729,text,early,0.2,715,0.6293706293706294,0.5993311394338793,0.6249942312107749,0.5964291707977288,0.6410823753701124,0.6013986013986014,0.5672520800691556,0.5949658973313682,0.6266891682598662,0.6068771196718673,0.03207905936472366,0.030259997462137367
