factor,level,model,n_seeds,n_common_valid_samples,delta_macro_f1_mean,delta_macro_f1_seed_sd,delta_mae_mean,delta_mae_seed_sd,per_seed_delta_macro_f1,per_seed_delta_mae
missing_type,text,M0,3,715,0.034867669516480036,0.01713950589160044,0.026735391970002634,0.012726872231581891,"[0.04125963208353353, 0.015450721149753642, 0.04789265531615292]","[0.014175266851891768, 0.026408207026348593, 0.03962270203176754]"
missing_type,text,M1,3,715,0.02366543981886518,0.02454471327057397,0.026734229093354767,0.010521311507664773,"[0.028254029669647976, -0.00284974654182768, 0.045592036328775246]","[0.02220838839045658, 0.019233155882213207, 0.03876114300739451]"
missing_type,audio,M0,3,715,-0.0025736977858894995,0.004186485236921676,-0.0013587843908474178,0.001118421384189728,"[-0.00426838697948157, 0.0021944477548215455, -0.005647154133008475]","[-0.0024761455069515215, -0.0002393057454441245, -0.0013609019201466079]"
missing_type,audio,M1,3,715,-0.0007338800192803813,0.001714930405918162,-3.372030232586644e-05,0.00023437990447012691,"[-0.0009725191907716072, -0.0023169924605229587, 0.0010878715934534216]","[8.870969193951349e-05, -0.00030396188149433504, 0.00011409128257722223]"
missing_type,vision,M0,3,715,-0.0005950029062779424,0.002034315343014414,-0.0013746327774674435,0.0007311179201668426,"[-0.0006018719116395794, 0.0014427382417731992, -0.002625875048967447]","[-0.0017265117525867445, -0.0005341112382837422, -0.0018632753415318436]"
missing_type,vision,M1,3,715,-0.002160646885071223,0.0037690941477792625,0.0006831428491020547,0.001330579212187376,"[-0.006251338021804541, -0.0014020628380100814, 0.0011714602046009543]","[-0.00017928485816497296, 0.0022155401012704276, 1.3173304200709958e-05]"
missing_type,audio+vision,M0,3,715,-0.00161650171286668,0.002535006786405736,-0.0026377418839568768,0.0017938445519447227,"[-0.0028177026722020246, 0.001295828984320334, -0.003327631450718349]","[-0.004211688293784512, -0.0006846221184492432, -0.003016915239636875]"
missing_type,audio+vision,M1,3,715,-0.0027016929134016103,0.0025764944425073853,0.0006264924311494156,0.0010951756140562862,"[-0.003997407504130345, -0.004373138613939447, 0.00026546737786496227]","[-0.0001011647318404332, 0.0018860307398918098, 9.461128539687034e-05]"
position,early,M0,3,715,0.007812457870767019,0.0023385007771005353,0.005576614715984242,0.002242630610332899,"[0.010487305994390461, 0.00615491426696993, 0.006795153350940668]","[0.0030798389278281955, 0.0062300445845172485, 0.007419960635607283]"
position,early,M1,3,715,0.006039352379453869,0.008855215698306022,0.007609100247992488,0.002702086610680006,"[0.007923511746677622, -0.003606307181007684, 0.013800852572691669]","[0.006353561593572902, 0.005763210530980574, 0.01071052861942399]"
position,middle,M0,3,715,0.008341607627576107,0.002816565667409065,0.0048617570408141944,0.0037838662030470877,"[0.008028331294872034, 0.005694777296984921, 0.011301714290871364]","[0.0007134565780572144, 0.00574790647439007, 0.0081239080699953]"
position,middle,M1,3,715,0.001964805040474002,0.007025715329020059,0.006085498141187751,0.002011997693292777,"[-0.0002391634128538489, -0.0036946875077226624, 0.009828266041998518]","[0.00449707835237273, 0.005411434679339318, 0.008347981391851203]"
position,late,M0,3,715,0.006407784835241309,0.00285059819020469,0.005584802931499735,0.004591753996392331,"[0.006663115600895275, 0.00343811053404669, 0.00912212837078196]","[0.0005273954680413325, 0.006734674884221294, 0.009492338442236578]"
position,late,M1,3,715,0.005547757580906104,0.006693722164150195,0.007313009664280039,0.002491389079689108,"[0.005090225380882339, -0.0009054606519947791, 0.012458508013830749]","[0.005661846423347383, 0.0060984284210909385, 0.010178754148401794]"
ratio,0.1,M0,3,715,0.002180324636268426,0.0014122032230018578,0.002699338326993357,0.002761370474700772,"[0.00249539309799073, 0.0006371978096642861, 0.0034083830011502614]","[-0.00012961195020375996, 0.0028398640374712645, 0.0053877628937125666]"
ratio,0.1,M1,3,715,0.0021343999635482845,0.005844283727069728,0.0037274045793861186,0.002059470517830783,"[0.0035774634467742408, -0.004296232243114058, 0.00712196868698467]","[0.002697565868925056, 0.002385985337635723, 0.006098662531597576]"
ratio,0.2,M0,3,715,0.0074729969769627225,0.00209639399702541,0.005599203015599478,0.003670772038796421,"[0.00905579729729288, 0.00509543000645384, 0.008267763627141447]","[0.0015193185474319988, 0.006643919443338771, 0.008634371056027665]"
ratio,0.2,M1,3,715,0.004353110576208224,0.00787069721417999,0.007267894169367029,0.0027596788013804613,"[0.0034963732613583856, -0.0030541685071288536, 0.01261712697439514]","[0.005597288450939837, 0.00575316841450856, 0.010453225642652691]"
ratio,0.3,M0,3,715,0.012908528720353285,0.003057911126849177,0.0077246333457053375,0.0042463001570236325,"[0.01362756249487416, 0.009555174281883414, 0.015542849384302282]","[0.0029309843766985033, 0.009228842462318579, 0.01101407319809893]"
ratio,0.3,M1,3,715,0.007064404461077467,0.008682979485594242,0.01001230930470713,0.002359843205905307,"[0.005700737006573485, -0.0008560545904822137, 0.016348530967141128]","[0.008217632049428122, 0.009133919879266547, 0.01268537598542672]"
