row,sample_id,predicted_class_index,predicted_polarity,full_predicted_class_logit,full_intensity,donor_text_row,Delta_cls_text,Delta_reg_text,donor_audio_row,Delta_cls_audio,Delta_reg_audio,donor_vision_row,Delta_cls_vision,Delta_reg_vision,dominant_modality_cls,dominant_modality_reg,Delta_cls_audio_vision_joint,Delta_reg_audio_vision_joint
0,-UacrmKiTn4$_$7,2,Positive,0.9568723440170288,0.5289341807365417,378,1.560807704925537,0.7828459143638611,105,0.010180115699768066,0.04762899875640869,613,0.030398130416870117,0.023050010204315186,text,text,0.04043257236480713,0.0684044361114502
1,-qDkUB0GgYY$_$5,2,Positive,0.30525094270706177,0.2871183753013611,224,0.104169100522995,0.14448346197605133,713,-0.2027265429496765,0.04694584012031555,219,0.21352720260620117,0.1358276903629303,vision,text,0.02031123638153076,0.17650866508483887
2,0utROiKxejc$_$1,1,Neutral,-0.10054373741149902,-0.06454619020223618,526,0.428804874420166,0.8493395447731018,325,0.06544144451618195,0.03130591660737991,389,0.0907965749502182,0.09616823494434357,text,text,0.16558507084846497,0.07748515158891678
3,0utROiKxejc$_$4,0,Negative,1.829534649848938,-1.233696460723877,715,3.270965337753296,1.6162965297698975,584,0.25701308250427246,0.12894511222839355,281,0.03954625129699707,0.020296812057495117,text,text,0.27812719345092773,0.13669562339782715
4,0y022OlZ3W0$_$3,2,Positive,1.0321093797683716,0.7270128726959229,464,0.5193331837654114,0.4520437717437744,688,-0.05428910255432129,0.029134035110473633,36,-0.4141122102737427,0.3763648271560669,text,text,-0.46741580963134766,0.3283342123031616
5,0y022OlZ3W0$_$5,0,Negative,1.2949063777923584,-0.7913051247596741,527,0.6649307608604431,0.5401144623756409,588,-0.000817418098449707,0.03520166873931885,44,-0.022690176963806152,0.02593928575515747,text,text,-0.020679473876953125,0.05886942148208618
6,0y022OlZ3W0$_$8,2,Positive,0.3508298993110657,0.0791177749633789,399,0.40837863087654114,0.08028354495763779,575,0.050691187381744385,0.0415661558508873,492,-0.059991657733917236,0.018066726624965668,text,text,-0.010991692543029785,0.018396057188510895
7,101787$_$11,0,Negative,0.17715367674827576,-0.14160369336605072,105,0.5552856922149658,0.08827580511569977,657,0.3041006922721863,0.014199718832969666,654,0.03962203860282898,0.0290943905711174,text,text,0.3546963632106781,0.013116329908370972
8,101787$_$13,0,Negative,1.050621509552002,-0.5514801144599915,626,2.276721954345703,0.9783828854560852,674,0.3135008215904236,0.24725624918937683,194,0.053998708724975586,0.10856091976165771,text,text,0.3834208846092224,0.38111722469329834
9,101787$_$1,1,Neutral,0.25155970454216003,-0.2566184997558594,717,0.8807327747344971,0.1911754012107849,551,-0.24899306893348694,0.0454883873462677,51,-0.0337119996547699,0.023442402482032776,text,text,-0.27718427777290344,0.022330045700073242
10,101787$_$5,0,Negative,1.3965622186660767,-0.9919699430465698,284,2.1610615253448486,1.0484405755996704,304,0.3203890323638916,0.24010515213012695,602,-0.1121671199798584,0.11251020431518555,text,text,0.19668185710906982,0.11600780487060547
